constructorId,Name,Nationality,url
ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
force_india,Force India,Indian,http://en.wikipedia.org/wiki/Racing_Point_Force_India
hrt,HRT,Spanish,http://en.wikipedia.org/wiki/Hispania_Racing
lotus_racing,Lotus,Malaysian,http://en.wikipedia.org/wiki/Lotus_Racing
mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
mercedes,Mercedes,German,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One
red_bull,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing
renault,Renault,French,http://en.wikipedia.org/wiki/Renault_in_Formula_One
sauber,Sauber,Swiss,http://en.wikipedia.org/wiki/Sauber
toro_rosso,Toro Rosso,Italian,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso
virgin,Virgin,British,http://en.wikipedia.org/wiki/Virgin_Racing
williams,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering
ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
force_india,Force India,Indian,http://en.wikipedia.org/wiki/Racing_Point_Force_India
hrt,HRT,Spanish,http://en.wikipedia.org/wiki/Hispania_Racing
lotus_racing,Lotus,Malaysian,http://en.wikipedia.org/wiki/Lotus_Racing
mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
mercedes,Mercedes,German,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One
red_bull,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing
renault,Renault,French,http://en.wikipedia.org/wiki/Renault_in_Formula_One
sauber,Sauber,Swiss,http://en.wikipedia.org/wiki/Sauber
toro_rosso,Toro Rosso,Italian,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso
virgin,Virgin,British,http://en.wikipedia.org/wiki/Virgin_Racing
williams,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering
caterham,Caterham,Malaysian,http://en.wikipedia.org/wiki/Caterham_F1
ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
force_india,Force India,Indian,http://en.wikipedia.org/wiki/Racing_Point_Force_India
hrt,HRT,Spanish,http://en.wikipedia.org/wiki/Hispania_Racing
lotus_f1,Lotus F1,British,http://en.wikipedia.org/wiki/Lotus_F1
marussia,Marussia,Russian,http://en.wikipedia.org/wiki/Marussia_F1
mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
mercedes,Mercedes,German,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One
red_bull,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing
sauber,Sauber,Swiss,http://en.wikipedia.org/wiki/Sauber
toro_rosso,Toro Rosso,Italian,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso
williams,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering
caterham,Caterham,Malaysian,http://en.wikipedia.org/wiki/Caterham_F1
ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
force_india,Force India,Indian,http://en.wikipedia.org/wiki/Racing_Point_Force_India
lotus_f1,Lotus F1,British,http://en.wikipedia.org/wiki/Lotus_F1
marussia,Marussia,Russian,http://en.wikipedia.org/wiki/Marussia_F1
mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
mercedes,Mercedes,German,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One
red_bull,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing
sauber,Sauber,Swiss,http://en.wikipedia.org/wiki/Sauber
toro_rosso,Toro Rosso,Italian,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso
williams,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering
caterham,Caterham,Malaysian,http://en.wikipedia.org/wiki/Caterham_F1
ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
force_india,Force India,Indian,http://en.wikipedia.org/wiki/Racing_Point_Force_India
lotus_f1,Lotus F1,British,http://en.wikipedia.org/wiki/Lotus_F1
marussia,Marussia,Russian,http://en.wikipedia.org/wiki/Marussia_F1
mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
mercedes,Mercedes,German,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One
red_bull,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing
sauber,Sauber,Swiss,http://en.wikipedia.org/wiki/Sauber
toro_rosso,Toro Rosso,Italian,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso
williams,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering
ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
force_india,Force India,Indian,http://en.wikipedia.org/wiki/Racing_Point_Force_India
lotus_f1,Lotus F1,British,http://en.wikipedia.org/wiki/Lotus_F1
manor,Manor Marussia,British,http://en.wikipedia.org/wiki/Manor_Motorsport
mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
mercedes,Mercedes,German,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One
red_bull,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing
sauber,Sauber,Swiss,http://en.wikipedia.org/wiki/Sauber
toro_rosso,Toro Rosso,Italian,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso
williams,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering
ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
force_india,Force India,Indian,http://en.wikipedia.org/wiki/Racing_Point_Force_India
haas,Haas F1 Team,American,http://en.wikipedia.org/wiki/Haas_F1_Team
manor,Manor Marussia,British,http://en.wikipedia.org/wiki/Manor_Motorsport
mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
mercedes,Mercedes,German,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One
red_bull,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing
renault,Renault,French,http://en.wikipedia.org/wiki/Renault_in_Formula_One
sauber,Sauber,Swiss,http://en.wikipedia.org/wiki/Sauber
toro_rosso,Toro Rosso,Italian,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso
williams,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering
ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
force_india,Force India,Indian,http://en.wikipedia.org/wiki/Racing_Point_Force_India
haas,Haas F1 Team,American,http://en.wikipedia.org/wiki/Haas_F1_Team
mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
mercedes,Mercedes,German,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One
red_bull,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing
renault,Renault,French,http://en.wikipedia.org/wiki/Renault_in_Formula_One
sauber,Sauber,Swiss,http://en.wikipedia.org/wiki/Sauber
toro_rosso,Toro Rosso,Italian,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso
williams,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering
ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
force_india,Force India,Indian,http://en.wikipedia.org/wiki/Racing_Point_Force_India
haas,Haas F1 Team,American,http://en.wikipedia.org/wiki/Haas_F1_Team
mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
mercedes,Mercedes,German,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One
red_bull,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing
renault,Renault,French,http://en.wikipedia.org/wiki/Renault_in_Formula_One
sauber,Sauber,Swiss,http://en.wikipedia.org/wiki/Sauber
toro_rosso,Toro Rosso,Italian,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso
williams,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering
alfa,Alfa Romeo,Swiss,http://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One
ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
haas,Haas F1 Team,American,http://en.wikipedia.org/wiki/Haas_F1_Team
mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
mercedes,Mercedes,German,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One
racing_point,Racing Point,British,http://en.wikipedia.org/wiki/Racing_Point_F1_Team
red_bull,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing
renault,Renault,French,http://en.wikipedia.org/wiki/Renault_in_Formula_One
toro_rosso,Toro Rosso,Italian,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso
williams,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering
alfa,Alfa Romeo,Swiss,http://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One
alphatauri,AlphaTauri,Italian,http://en.wikipedia.org/wiki/Scuderia_AlphaTauri
ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
haas,Haas F1 Team,American,http://en.wikipedia.org/wiki/Haas_F1_Team
mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
mercedes,Mercedes,German,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One
racing_point,Racing Point,British,http://en.wikipedia.org/wiki/Racing_Point_F1_Team
red_bull,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing
renault,Renault,French,http://en.wikipedia.org/wiki/Renault_in_Formula_One
williams,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering
alfa,Alfa Romeo,Swiss,http://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One
alphatauri,AlphaTauri,Italian,http://en.wikipedia.org/wiki/Scuderia_AlphaTauri
alpine,Alpine F1 Team,French,http://en.wikipedia.org/wiki/Alpine_F1_Team
aston_martin,Aston Martin,British,http://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One
ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
haas,Haas F1 Team,American,http://en.wikipedia.org/wiki/Haas_F1_Team
mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
mercedes,Mercedes,German,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One
red_bull,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing
williams,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering
alfa,Alfa Romeo,Swiss,http://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One
alphatauri,AlphaTauri,Italian,http://en.wikipedia.org/wiki/Scuderia_AlphaTauri
alpine,Alpine F1 Team,French,http://en.wikipedia.org/wiki/Alpine_F1_Team
aston_martin,Aston Martin,British,http://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One
ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
haas,Haas F1 Team,American,http://en.wikipedia.org/wiki/Haas_F1_Team
mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
mercedes,Mercedes,German,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One
red_bull,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing
williams,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering
alfa,Alfa Romeo,Swiss,http://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One
alphatauri,AlphaTauri,Italian,http://en.wikipedia.org/wiki/Scuderia_AlphaTauri
alpine,Alpine F1 Team,French,http://en.wikipedia.org/wiki/Alpine_F1_Team
aston_martin,Aston Martin,British,http://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One
ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
haas,Haas F1 Team,American,http://en.wikipedia.org/wiki/Haas_F1_Team
mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
mercedes,Mercedes,German,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One
red_bull,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing
williams,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering
